Analyzer3.ClearDataFlow calls XArray.XClear
  Analyzer3.EnterLoop calls Add
  Analyzer3.EnterLoop calls NotEqual
  Analyzer3.EnterLoop calls XArray.XPush
  Analyzer3.ExitLoop calls GreaterThan
  Analyzer3.ExitLoop calls Subtract
  Analyzer3.ExitLoop calls XArray.XSize
  Analyzer3.ExitLoop calls GreaterThan
  Analyzer3.ExitLoop calls XArray.XPop
  Analyzer3.IsLoopVar calls XArray.XSize
  Analyzer3.IsLoopVar calls LessThan
  Analyzer3.IsLoopVar calls XArray.XGet
  Analyzer3.IsLoopVar calls EqualTo
  Analyzer3.IsLoopVar calls Analyzer3.StrEqual
  Analyzer3.IsLoopVar calls Add
  Analyzer3.RecordCall calls EqualTo
  Analyzer3.RecordCall calls EqualTo
  Analyzer3.RecordCall calls XArray.XPush
  Analyzer3.RecordCall calls XArray.XPush
  Analyzer3.DetectRecursiveCycles calls EqualTo
  Analyzer3.DetectRecursiveCycles calls XArray.XSize
  Analyzer3.DetectRecursiveCycles calls LessThan
  Analyzer3.DetectRecursiveCycles calls XArray.XGet
  Analyzer3.DetectRecursiveCycles calls XArray.XGet
  Analyzer3.DetectRecursiveCycles calls EqualTo
  Analyzer3.DetectRecursiveCycles calls Analyzer3.StrEqual
  Analyzer3.DetectRecursiveCycles calls StringConcat
  Analyzer3.DetectRecursiveCycles calls NotEqual
  Analyzer3.DetectRecursiveCycles calls StringConcat
  Analyzer3.DetectRecursiveCycles calls StringConcat
  Analyzer3.DetectRecursiveCycles calls Analyzer3.AddWarning
  Analyzer3.DetectRecursiveCycles calls Add
  Analyzer3.DetectRecursiveCycles calls Add
  Analyzer3.RegisterPool calls EqualTo
  Analyzer3.RegisterPool calls XArray.XPush
  Analyzer3.RegisterPoolMember calls EqualTo
  Analyzer3.RegisterPoolMember calls XArray.XPush
  Analyzer3.IsKnownPoolMember calls XArray.XSize
  Analyzer3.IsKnownPoolMember calls LessThan
  Analyzer3.IsKnownPoolMember calls XArray.XGet
  Analyzer3.IsKnownPoolMember calls EqualTo
  Analyzer3.IsKnownPoolMember calls Analyzer3.StrEqual
  Analyzer3.IsKnownPoolMember calls Add
  Analyzer3.RecordDealloc calls EqualTo
  Analyzer3.RecordDealloc calls EqualTo
  Analyzer3.RecordDealloc calls XArray.XSize
  Analyzer3.RecordDealloc calls LessThan
  Analyzer3.RecordDealloc calls XArray.XGet
  Analyzer3.RecordDealloc calls EqualTo
  Analyzer3.RecordDealloc calls Analyzer3.StrEqual
  Analyzer3.RecordDealloc calls FileMap_Format
  Analyzer3.RecordDealloc calls StringConcat
  Analyzer3.RecordDealloc calls StringConcat
  Analyzer3.RecordDealloc calls StringConcat
  Analyzer3.RecordDealloc calls NotEqual
  Analyzer3.RecordDealloc calls StringConcat
  Analyzer3.RecordDealloc calls StringConcat
  Analyzer3.RecordDealloc calls StringConcat
  Analyzer3.RecordDealloc calls Analyzer3.AddWarning
  Analyzer3.RecordDealloc calls Add
  Analyzer3.RecordDealloc calls Add
  Analyzer3.RecordDealloc calls XArray.XPush
  Analyzer3.RemoveDealloc calls EqualTo
  Analyzer3.RemoveDealloc calls XArray.XSize
  Analyzer3.RemoveDealloc calls LessThan
  Analyzer3.RemoveDealloc calls XArray.XGet
  Analyzer3.RemoveDealloc calls EqualTo
  Analyzer3.RemoveDealloc calls Analyzer3.StrEqual
  Analyzer3.RemoveDealloc calls Subtract
  Analyzer3.RemoveDealloc calls XArray.XSwap
  Analyzer3.RemoveDealloc calls XArray.XPop
  Analyzer3.RemoveDealloc calls Add
  Analyzer3.RecordConcatResult calls EqualTo
  Analyzer3.RecordConcatResult calls XArray.XPush
  Analyzer3.RecordConcatResult calls XArray.XPush
  Analyzer3.RecordConcatResult calls GreaterThan
  Analyzer3.RecordConcatResult calls EqualTo
  Analyzer3.RecordConcatResult calls XArray.XPush
  Analyzer3.RecordConcatResult calls EqualTo
  Analyzer3.RecordConcatResult calls Add
  Analyzer3.CheckConcatInLoops calls EqualTo
  Analyzer3.CheckConcatInLoops calls XArray.XSize
  Analyzer3.CheckConcatInLoops calls LessThan
  Analyzer3.CheckConcatInLoops calls XArray.XGet
  Analyzer3.CheckConcatInLoops calls EqualTo
  Analyzer3.CheckConcatInLoops calls XArray.XGet
  Analyzer3.CheckConcatInLoops calls XArray.XGet
  Analyzer3.CheckConcatInLoops calls FileMap_Format
  Analyzer3.CheckConcatInLoops calls StringConcat
  Analyzer3.CheckConcatInLoops calls NotEqual
  Analyzer3.CheckConcatInLoops calls StringConcat
  Analyzer3.CheckConcatInLoops calls StringConcat
  Analyzer3.CheckConcatInLoops calls NotEqual
  Analyzer3.CheckConcatInLoops calls StringConcat
  Analyzer3.CheckConcatInLoops calls StringConcat
  Analyzer3.CheckConcatInLoops calls Analyzer3.AddWarning
  Analyzer3.CheckConcatInLoops calls Add
  Analyzer3.CheckConcatInLoops calls Add
  Analyzer3.CollectPools calls EqualTo
  Analyzer3.CollectPools calls AST_GetType
  Analyzer3.CollectPools calls EqualTo
  Analyzer3.CollectPools calls AST_GetData1
  Analyzer3.CollectPools calls Analyzer3.RegisterPool
  Analyzer3.CollectPools calls AST_GetChildCount
  Analyzer3.CollectPools calls LessThan
  Analyzer3.CollectPools calls AST_GetChild
  Analyzer3.CollectPools calls NotEqual
  Analyzer3.CollectPools calls AST_GetType
  Analyzer3.CollectPools calls EqualTo
  Analyzer3.CollectPools calls AST_GetData1
  Analyzer3.CollectPools calls NotEqual
  Analyzer3.CollectPools calls StringConcat
  Analyzer3.CollectPools calls StringConcat
  Analyzer3.CollectPools calls Analyzer3.RegisterPoolMember
  Analyzer3.CollectPools calls Add
  Analyzer3.CollectPools calls EqualTo
  Analyzer3.CollectPools calls AST_GetData1
  Analyzer3.CollectPools calls Analyzer3.RegisterPool
  Analyzer3.CollectPools calls AST_GetChildCount
  Analyzer3.CollectPools calls LessThan
  Analyzer3.CollectPools calls AST_GetChild
  Analyzer3.CollectPools calls Analyzer3.CollectPools
  Analyzer3.CollectPools calls Add
  Analyzer3.WalkNode calls EqualTo
  Analyzer3.WalkNode calls AST_GetType
  Analyzer3.WalkNode calls AST_GetLine
  Analyzer3.WalkNode calls GreaterThan
  Analyzer3.WalkNode calls EqualTo
  Analyzer3.WalkNode calls AST_GetData1
  Analyzer3.WalkNode calls Analyzer3.ClearDataFlow
  Analyzer3.WalkNode calls Analyzer3.PushScope
  Analyzer3.WalkNode calls AST_GetChildCount
  Analyzer3.WalkNode calls LessThan
  Analyzer3.WalkNode calls AST_GetChild
  Analyzer3.WalkNode calls NotEqual
  Analyzer3.WalkNode calls AST_GetType
  Analyzer3.WalkNode calls EqualTo
  Analyzer3.WalkNode calls AST_GetData1
  Analyzer3.WalkNode calls Analyzer3.MarkWritten
  Analyzer3.WalkNode calls Analyzer3.TrackScopeVar
  Analyzer3.WalkNode calls Add
  Analyzer3.WalkNode calls Analyzer3.WalkChildren
  Analyzer3.WalkNode calls Analyzer3.CheckConcatInLoops
  Analyzer3.WalkNode calls Analyzer3.PopScope
  Analyzer3.WalkNode calls EqualTo
  Analyzer3.WalkNode calls AST_GetData1
  Analyzer3.WalkNode calls Analyzer3.ClearDataFlow
  Analyzer3.WalkNode calls Analyzer3.PushScope
  Analyzer3.WalkNode calls Analyzer3.WalkChildren
  Analyzer3.WalkNode calls Analyzer3.CheckConcatInLoops
  Analyzer3.WalkNode calls Analyzer3.PopScope
  Analyzer3.WalkNode calls EqualTo
  Analyzer3.WalkNode calls Analyzer3.PushScope
  Analyzer3.WalkNode calls Analyzer3.WalkChildren
  Analyzer3.WalkNode calls Analyzer3.PopScope
  Analyzer3.WalkNode calls EqualTo
  Analyzer3.WalkNode calls Analyzer3.PushScope
  Analyzer3.WalkNode calls Analyzer3.WalkChildren
  Analyzer3.WalkNode calls Analyzer3.PopScope
  Analyzer3.WalkNode calls EqualTo
  Analyzer3.WalkNode calls AST_GetChildCount
  Analyzer3.WalkNode calls GreaterThan
  Analyzer3.WalkNode calls AST_GetChild
  Analyzer3.WalkNode calls Analyzer3.WalkNode
  Analyzer3.WalkNode calls XArray.XSize
  Analyzer3.WalkNode calls GreaterThan
  Analyzer3.WalkNode calls AST_GetChild
  Analyzer3.WalkNode calls Analyzer3.WalkNode
  Analyzer3.WalkNode calls XArray.XSize
  Analyzer3.WalkNode calls XArray.XCreate
  Analyzer3.WalkNode calls Subtract
  Analyzer3.WalkNode calls LessThan
  Analyzer3.WalkNode calls XArray.XPop
  Analyzer3.WalkNode calls XArray.XPush
  Analyzer3.WalkNode calls Add
  Analyzer3.WalkNode calls GreaterThan
  Analyzer3.WalkNode calls AST_GetChild
  Analyzer3.WalkNode calls Analyzer3.WalkNode
  Analyzer3.WalkNode calls XArray.XSize
  Analyzer3.WalkNode calls LessThan
  Analyzer3.WalkNode calls XArray.XPop
  Analyzer3.WalkNode calls XArray.XPush
  Analyzer3.WalkNode calls Add
  Analyzer3.WalkNode calls XArray.XDestroy
  Analyzer3.WalkNode calls EqualTo
  Analyzer3.WalkNode calls Add
  Analyzer3.WalkNode calls Analyzer3.EnterLoop
  Analyzer3.WalkNode calls Analyzer3.WalkChildren
  Analyzer3.WalkNode calls Analyzer3.ExitLoop
  Analyzer3.WalkNode calls Subtract
  Analyzer3.WalkNode calls EqualTo
  Analyzer3.WalkNode calls Analyzer3.WalkChildren
  Analyzer3.WalkNode calls EqualTo
  Analyzer3.WalkNode calls AST_GetData1
  Analyzer3.WalkNode calls Analyzer3.EnterLoop
  Analyzer3.WalkNode calls Analyzer3.MarkWritten
  Analyzer3.WalkNode calls Analyzer3.WalkChildren
  Analyzer3.WalkNode calls Analyzer3.ExitLoop
  Analyzer3.WalkNode calls EqualTo
  Analyzer3.WalkNode calls AST_GetData1
  Analyzer3.WalkNode calls Analyzer3.RemoveDealloc
  Analyzer3.WalkNode calls EqualTo
  Analyzer3.WalkNode calls GreaterThan
  Analyzer3.WalkNode calls EqualTo
  Analyzer3.WalkNode calls Analyzer3.IsLoopVar
  Analyzer3.WalkNode calls AST_GetChildCount
  Analyzer3.WalkNode calls GreaterThan
  Analyzer3.WalkNode calls AST_GetChild
  Analyzer3.WalkNode calls Analyzer3.IsIncrementPattern
  Analyzer3.WalkNode calls EqualTo
  Analyzer3.WalkNode calls FileMap_Format
  Analyzer3.WalkNode calls StringConcat
  Analyzer3.WalkNode calls StringConcat
  Analyzer3.WalkNode calls StringConcat
  Analyzer3.WalkNode calls Analyzer3.AddWarning
  Analyzer3.WalkNode calls Add
  Analyzer3.WalkNode calls AST_GetChildCount
  Analyzer3.WalkNode calls GreaterThan
  Analyzer3.WalkNode calls AST_GetChild
  Analyzer3.WalkNode calls NotEqual
  Analyzer3.WalkNode calls EqualTo
  Analyzer3.WalkNode calls AST_GetType
  Analyzer3.WalkNode calls AST_GetData1
  Analyzer3.WalkNode calls NotEqual
  Analyzer3.WalkNode calls EqualTo
  Analyzer3.WalkNode calls StringCompare
  Analyzer3.WalkNode calls Analyzer3.RecordConcatResult
  Analyzer3.WalkNode calls Analyzer3.WalkNode
  Analyzer3.WalkNode calls Analyzer3.MarkWritten
  Analyzer3.WalkNode calls Analyzer3.TrackScopeVar
  Analyzer3.WalkNode calls EqualTo
  Analyzer3.WalkNode calls AST_GetData1
  Analyzer3.WalkNode calls Analyzer3.MarkRead
  Analyzer3.WalkNode calls EqualTo
  Analyzer3.WalkNode calls AST_GetData1
  Analyzer3.WalkNode calls Analyzer3.RecordCall
  Analyzer3.WalkNode calls NotEqual
  Analyzer3.WalkNode calls EqualTo
  Analyzer3.WalkNode calls StringCompare
  Analyzer3.WalkNode calls AST_GetChildCount
  Analyzer3.WalkNode calls GreaterThan
  Analyzer3.WalkNode calls AST_GetChild
  Analyzer3.WalkNode calls NotEqual
  Analyzer3.WalkNode calls EqualTo
  Analyzer3.WalkNode calls AST_GetType
  Analyzer3.WalkNode calls AST_GetData1
  Analyzer3.WalkNode calls Analyzer3.RecordDealloc
  Analyzer3.WalkNode calls Analyzer3.WalkChildren
  Analyzer3.WalkNode calls Analyzer3.WalkChildren
  Analyzer3.WalkChildren calls AST_GetChildCount
  Analyzer3.WalkChildren calls LessThan
  Analyzer3.WalkChildren calls AST_GetChild
  Analyzer3.WalkChildren calls Analyzer3.WalkNode
  Analyzer3.WalkChildren calls Add
  Analyzer3.ExtractLoopVar calls EqualTo
