╔══════════════════════════════════════════════════════════════════════╗
║  GPU Register Probe —    cold-boot                                  ║
╚══════════════════════════════════════════════════════════════════════╝

PCI Command Register:
  Bus 1: 0x0407  Mem=ON  BusMaster=ON
  Bus 2: 0x0407  Mem=ON  BusMaster=ON

Sanity: GRBM_STATUS bus1=0x00003028 bus2=0x00003028

Register                         Bus1 (POSTed)            Bus2  Match
────────────────────────────────────────────────────────────────────────────────
VGA_RENDER_CONTROL              0x0200000F      0x0000000F      !! DIFF
VGA_HDP_CONTROL                 0x00000001      0x00000000      !! DIFF
CG_SPLL_FUNC_CNTL               0x80400000      0x80400000      ==
CG_SPLL_FUNC_CNTL_2             0x00000001      0x00000001      ==
CG_SPLL_FUNC_CNTL_3             0x100B1C71      0x100B1C70      !! DIFF
CG_SPLL_FUNC_CNTL_4             0x80880047      0x80880047      ==
CG_SPLL_SPREAD_SPECTRUM         0x00200000      0x00200000      ==
CG_SPLL_SPREAD_SPECTRUM_2       0x00000000      0x00000000      ==
DMIF_ADDR_CONFIG                0x10010002      0x10010002      ==
DMIF_ADDR_CALC                  0x10000000      0x10000000      ==
SPLL_STATUS                     0x00000000      0x00000000      ==
SRBM_STATUS                     0x200000C0      0x200000C0      ==
SRBM_STATUS2                    0x00000000      0x00000000      ==
VM_L2_CNTL                      0x000B8603      0x000B8603      ==
VM_L2_CNTL2                     0x00000000      0x00000000      ==
VM_L2_CNTL3                     0x00120004      0x00120004      ==
VM_CONTEXT0_CNTL                0x00000011      0x00000011      ==
VM_CONTEXT0_CNTL2               0x00000000      0x00000000      ==
VM_CONTEXT0_PT_START            0x00000000      0x00000000      ==
VM_CONTEXT0_PT_END              0x00000000      0x00000000      ==
VM_INVALIDATE_REQUEST           0x00000000      0x00000000      ==
VM_INVALIDATE_RESPONSE          0x00000007      0x00000001      !! DIFF
VM_CONTEXT0_PT_BASE             0x00000AF0      0x00000000      !! DIFF
MC_SHARED_CHMAP                 0x00002210      0x00002210      ==
MC_VM_FB_LOCATION               0x003F0000      0x003F0000      ==
MC_VM_AGP_TOP                   0x0003FFFF      0x0003FFFF      ==
MC_VM_AGP_BOT                   0x0003FFFF      0x0003FFFF      ==
MC_VM_AGP_BASE                  0x00000000      0x00000000      ==
MC_VM_SYS_APE_LOW               0x00000000      0x00000000      ==
MC_VM_SYS_APE_HIGH              0x0003FFFF      0x0003FFFF      ==
MC_VM_SYS_APE_DEFAULT           0x000005D6      0x000005D6      ==
MC_VM_MX_L1_TLB_CNTL            0x0000055B      0x0000055B      ==
MC_SHARED_BLACKOUT_CNTL         0x00000000      0x00000000      ==
MC_ARB_RAMCFG                   0x0000025A      0x0000025A      ==
MC_SEQ_SUP_CNTL                 0xAF800001      0xAF800001      ==
MC_SEQ_TRAIN_WAKEUP_CNTL        0xC00000E0      0xC00000E0      ==
MC_SEQ_MISC0                    0x500026A9      0x500036A9      !! DIFF
HDP_HOST_PATH_CNTL              0x0F200029      0x0F200029      ==
HDP_NONSURFACE_BASE             0x00000000      0x00000000      ==
HDP_NONSURFACE_INFO             0x40000100      0x40000100      ==
HDP_NONSURFACE_SIZE             0x3FFFFFFF      0x3FFFFFFF      ==
